Name,Description,Subscription Type,Bundled Plan Indicator,Minimum Recharge/Monthly Recurring Amount,Free Voice Minutes,Free SMS,Free Data (GB),Validity (Days),Data Speed (Mbps),Value Added Services,Bundled OTT Content,plan_feature
Essential Monthly,Simple postpaid plan with 500 voice minutes; 100 SMS; and 5 GB data at speeds of 15 Mbps for a monthly fee of 199; Perfect for moderate usage.,Postpaid,No,199,500,100,5,30,15,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Data Power 50GB,Postpaid plan for high data users; Offers 300 free voice minutes; 200 SMS; and 50 GB data monthly at speeds up to 20 Mbps; Great for streaming and remote work.,Postpaid,No,499,300,200,50,30,20,,None,"{'Data_Usage': 'medium', 'Voice_Usage': 'low', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Elite Entertainment,A premium postpaid bundled plan with Amazon Prime; Includes unlimited voice minutes; 500 SMS; 100 GB data monthly at speeds up to 50 Mbps; Perfect for streaming lovers.,Postpaid,Yes,1299,Unlimited,500,100,30,50,International Roaming; ISD Calling,Amazon Prime,"{'Data_Usage': 'medium', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Family Plus Pack,Postpaid family plan for up to 3 users; Includes 1500 shared voice minutes; 1000 SMS; and 200 GB shared data at 30 Mbps; Comes with a 3-month Disney Hotstar subscription.,Postpaid,Yes,1999,1500,1000,200,30,30,,Disney Hotstar,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Unlimited Bliss,The ultimate postpaid bundled plan with Netflix and Amazon Prime; Offers unlimited voice; 2000 SMS; and truly unlimited data at speeds up to 100 Mbps.,Postpaid,Yes,2999,Unlimited,2000,Unlimited,30,100,International Roaming; ISD Calling,Netflix; Amazon Prime,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'high'}"
Youth Connect,Affordable postpaid plan for young professionals; Includes 300 voice minutes; 100 SMS; and 10 GB data monthly at 15 Mbps speeds.,Postpaid,No,399,300,100,10,30,15,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Global Roam Plus,Postpaid plan for international travelers; Offers 1000 voice minutes; 500 SMS; 25 GB data at 50 Mbps with international roaming.,Postpaid,No,1499,1000,500,25,30,50,International Roaming,None,"{'Data_Usage': 'medium', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'high', 'OTT_Usage': 'low'}"
Power Productivity,Postpaid plan tailored for professionals; Offers 1000 voice minutes; 300 SMS; and 200 GB data monthly at speeds up to 40 Mbps.,Postpaid,No,999,1000,300,200,30,40,,None,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
OTT Ultimate Plus,A bundled postpaid plan with Netflix; Disney Hotstar; and Amazon Prime; Includes unlimited voice minutes; 1500 SMS; 300 GB data at 100 Mbps for 30 days.,Postpaid,Yes,3999,Unlimited,1500,300,30,100,International Roaming; ISD Calling,Netflix; Disney Hotstar; Amazon Prime,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'high'}"
Super Stream Family,Postpaid family plan for up to 4 users; Includes unlimited voice; 2000 SMS; 500 GB shared data at 60 Mbps with Disney Hotstar for 6 months.,Postpaid,Yes,4999,Unlimited,2000,500,30,60,,Disney Hotstar,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
